objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
9364,{D700C61F-441F-4085-84FB-35EFBB1AC537},both,Blue Bottle Coffee,"Blue Bottle Coffee, Inc.","Blue Bottle Coffee, Inc.",279,Amsterdam Avenue,Manhattan,10023,"279 Amsterdam Avenue, Manhattan, NY",50079275,25,7,175,12,8,96,yes,yes,no,,,yes,yes,yes,07/26/2020 03:31:00 PM,40.779382,-73.981054,7,6,157,1030007,1011450001,Lincoln Square
7998,{9B4E356E-7684-430E-81F8-6F7887FFA941},roadway,Now or Never Coffee,Bell's LLC,Now or Never Coffee,30,Grand Street,Manhattan,10013,"30  Grand Street, Manhattan, NY",50098877,,,,25,8,200,no,yes,no,,,no,,yes,07/10/2020 10:37:00 AM,40.722817,-74.004658,2,1,47,1077735,1004760045,SoHo-TriBeCa-Civic Center-Little Italy
3376,{93f66283-0581-4829-83c3-99476d3639d5},sidewalk,Prodigy Coffee,Harlem Roasting Company llc,Prodigy Coffee,33,Carmine Street,Manhattan,10014,"33 Carmine Street, Manhattan, NY",50072863,13,10,130,,,,yes,no,no,,,yes,yes,yes,06/22/2020 11:20:00 AM,40.730098,-74.003215,2,3,67,1083520,1005860032,West Village
4353,{B8488464-8400-4B66-8DFC-A37167097654},sidewalk,Interlude Coffee & Tea,Noteworthy Coffee Inc.,Interlude Coffee & Tea,145,Hudson St.,Manhattan,10013,"145 Hudson St., Manhattan, NY",500786659,22,7,154,,,,yes,no,no,,,yes,yes,yes,06/23/2020 01:48:00 PM,40.721073,-74.008398,1,1,39,1002803,1002147502,SoHo-TriBeCa-Civic Center-Little Italy
6080,{2ADF9714-FD63-4338-8FA2-CF91204A7ED2},sidewalk,Blackstone Coffee Roasters,Blackstone Coffee Roasters CORP,Blackstone Coffee Roasters CORP,502,Hudson Street,Manhattan,10014,"502 Hudson Street, Manhattan, NY",50070527,20,19,380,,,,yes,no,no,,,yes,yes,yes,06/27/2020 08:25:00 PM,40.733156,-74.006379,2,3,73,1011133,1006190001,West Village
3046,{3109bcd7-9ee9-4c76-8193-d6ff1fb16c1f},sidewalk,Neils Coffee Shop,Tihi Restaurant Corp,Neils Coffee Shop,961,Lexington Avenue,Manhattan,10021,"961 Lexington Avenue, Manhattan, NY",675432,50,6,300,,,,yes,no,no,,,yes,yes,yes,06/21/2020 05:31:00 PM,40.769016,-73.963219,8,4,120,1042507,1014040051,Upper East Side-Carnegie Hill
11353,{A7A4575C-8A52-4A8B-8FFA-8FA5FE787A16},both,JOE COFFEE COMPANY,JAGR TWO LLC,JOE COFFEE COMPANY,undefined,25 EAST   26 STREET,Manhattan,10010,"25 EAST   26 STREET, Manhattan, NY",50096529,40,4,160,40,8,320,yes,yes,yes,Jul-69,OP,yes,yes,yes,10/19/2020 11:13:00 AM,40.742949,-73.98699,5,2,56,1016881,1008560058,Hudson Yards-Chelsea-Flatiron-Union Square
655,18474850-f3cd-472c-8a6b-ebc398957ec2,roadway,Laughing Man Coffee,"LM coffee & tea, llc",Laughing Man Coffee,184,Duane Street,Manhattan,10013,"184  Duane Street, Manhattan, NY",N/A,,,,28,6,168,no,yes,no,,,yes,yes,yes,06/19/2020 01:27:00 PM,40.717403,-74.010245,1,1,39,1075718,1001417502,SoHo-TriBeCa-Civic Center-Little Italy
6277,{EDFA052A-9FE1-4192-87B2-64532FE2366F},roadway,Prodigy Coffee,Harlem Roasting Company llc,Prodigy Coffee,33,Carmine Street,Manhattan,10014,"33 Carmine Street, Manhattan, NY",50072863,,,,12,6,72,no,yes,no,,,yes,yes,yes,06/29/2020 12:18:00 PM,40.730098,-74.003215,2,3,67,1083520,1005860032,West Village
7513,{1CEBC1AE-72CB-466F-8082-F2BD8369D982},roadway,Variety Coffee Roasters,Variety Cafe Inc.,Variety Cafe Inc.,1269,Lexington Ave,Manhattan,10028,"1269 Lexington Ave, Manhattan, NY",50075750,,,,16,8,128,no,yes,no,,,no,,yes,07/07/2020 10:42:00 AM,40.779092,-73.95587,8,5,14801,1088463,1015147502,Upper East Side-Carnegie Hill
