DBN,School Name,Grade,Year,Number Tested,# Level 3+4
20K686,BROOKLYN SCHOOL OF INQUIRY,3,2019,63,59
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,3,2019,71,58
21K090,P.S. 90 EDNA COHEN SCHOOL,3,2019,75,41
21K095,P.S. 095 THE GRAVESEND,3,2019,134,99
21K097,P.S. 97 THE HIGHLAWN,3,2019,129,88
21K099,P.S. 099 ISAAC ASIMOV,3,2019,96,63
21K100,P.S. 100 THE CONEY ISLAND SCHOOL,3,2019,112,87
21K101,P.S. 101 THE VERRAZANO,3,2019,142,124
21K121,P.S. 121 NELSON A. ROCKEFELLER,3,2019,30,23
21K128,P.S. 128 BENSONHURST,3,2019,87,42
21K153,P.S. 153 HOMECREST,3,2019,72,47
21K177,P.S. 177 THE MARLBORO,3,2019,159,89
21K188,P.S. 188 MICHAEL E. BERDY,3,2019,63,14
21K199,P.S. 199 FREDERICK WACHTEL,3,2019,76,37
21K209,P.S. 209 MARGARET MEAD,3,2019,86,50
21K212,P.S. 212 LADY DEBORAH MOODY,3,2019,91,53
21K215,P.S. 215 MORRIS H. WEISS,3,2019,124,77
21K216,P.S. 216 ARTURO TOSCANINI,3,2019,105,53
21K225,P.S. K225 - THE EILEEN E. ZAGLIN,3,2019,91,34
21K226,P.S. 226 ALFRED DE B. MASON,3,2019,98,52
21K238,P.S. 238 ANNE SULLIVAN,3,2019,69,34
21K253,P.S. 253,3,2019,135,131
21K288,P.S. 288 THE SHIRLEY TANYHILL,3,2019,67,26
21K329,P.S. 329 SURFSIDE,3,2019,44,11
22K052,P.S. 052 SHEEPSHEAD BAY,3,2019,129,71
22K109,P.S. 109,3,2019,50,17
22K119,P.S. 119 AMERSFORT,3,2019,89,34
22K134,P.S. K134,3,2019,100,84
22K139,P.S. 139 ALEXINE A. FENTY,3,2019,137,55
22K152,SCHOOL OF SCIENCE & TECHNOLOGY,3,2019,104,48
22K193,P.S. 193 GIL HODGES,3,2019,119,68
22K194,P.S. 194 RAOUL WALLENBERG,3,2019,76,28
22K195,P.S. 195 MANHATTAN BEACH,3,2019,85,73
22K197,P.S. 197 - THE KINGS HIGHWAY ACADEMY,3,2019,105,81
22K198,P.S. 198 BROOKLYN,3,2019,56,13
22K203,P.S. 203 FLOYD BENNETT SCHOOL,3,2019,94,44
