CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
73974048,01/01/2021,01/01/2021,00:03:42,81,BROOKLYN,PATROL BORO BKLYN NORTH,1003633,190014,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:03:42 AM,01/01/2021 12:08:04 AM,01/01/2021 12:35:43 AM,01/01/2021 12:35:46 AM,40.688208,-73.930110
73974049,01/01/2021,01/01/2021,00:03:43,122,STATEN ISLAND,PATROL BORO STATEN ISLAND,940899,135105,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:03:43 AM,01/01/2021 12:06:08 AM,,01/01/2021 12:17:14 AM,40.537410,-74.155964
73974050,01/01/2021,01/01/2021,00:03:45,120,STATEN ISLAND,PATROL BORO STATEN ISLAND,963474,163366,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:03:45 AM,01/01/2021 12:04:31 AM,01/01/2021 12:22:37 AM,01/01/2021 12:51:38 AM,40.615062,-74.074834
73974051,01/01/2021,01/01/2021,00:03:49,66,BROOKLYN,PATROL BORO BKLYN SOUTH,992308,172443,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:03:49 AM,01/01/2021 12:16:57 AM,01/01/2021 01:11:07 AM,01/01/2021 01:11:20 AM,40.639997,-73.970967
73974053,01/01/2021,01/01/2021,00:03:57,66,BROOKLYN,PATROL BORO BKLYN SOUTH,984334,173630,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,01/01/2021 12:03:57 AM,01/01/2021 12:07:22 AM,01/01/2021 01:29:44 AM,01/01/2021 01:30:33 AM,40.643259,-73.999699
73974054,01/01/2021,01/01/2021,00:04:01,79,BROOKLYN,PATROL BORO BKLYN NORTH,1000083,189065,54U1,AMBULANCE CASE: UNCONSCIOUS/INSIDE,Non CIP,01/01/2021 12:04:01 AM,01/01/2021 12:06:37 AM,,01/01/2021 12:43:15 AM,40.685611,-73.942913
73974055,01/01/2021,01/01/2021,00:04:06,73,BROOKLYN,PATROL BORO BKLYN NORTH,1009839,178362,10S2,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,Critical,01/01/2021 12:04:06 AM,01/01/2021 12:04:45 AM,01/01/2021 12:16:18 AM,01/01/2021 12:16:23 AM,40.656210,-73.907776
73974056,01/01/2021,01/01/2021,00:04:09,61,BROOKLYN,PATROL BORO BKLYN SOUTH,1002656,157292,50G1,DISORDERLY: GROUP/INSIDE,Non CIP,01/01/2021 12:04:09 AM,01/01/2021 12:25:29 AM,01/01/2021 12:25:37 AM,01/01/2021 12:34:37 AM,40.598396,-73.933722
73974057,01/01/2021,01/01/2021,00:04:12,79,BROOKLYN,PATROL BORO BKLYN NORTH,995728,190315,54S1,AMBULANCE CASE: SERIOUS/INSIDE,Non CIP,01/01/2021 12:04:12 AM,01/01/2021 12:07:40 AM,01/01/2021 01:19:23 AM,01/01/2021 01:19:28 AM,40.689048,-73.958613
73974059,01/01/2021,01/01/2021,00:04:19,67,BROOKLYN,PATROL BORO BKLYN SOUTH,1000504,176531,10P2,INVESTIGATE/POSSIBLE CRIME: SUSP PERSON/OUTSIDE (PROWLER),Non CIP,01/01/2021 12:04:19 AM,01/01/2021 12:04:44 AM,01/01/2021 12:04:48 AM,01/01/2021 06:33:42 AM,40.651207,-73.941425
